"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/Materials/Icy.Icy","0","40","4","1","34.315132","0","228"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","30","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Materials/RingFire.RingFire","0","21","2","1","14.371346","0","215"
"/Game/Materials/Platform_3.Platform_3","0","21","4","1","13.562428","0","117"
"/Game/Materials/Platform_2.Platform_2","0","21","5","1","14.577636","0","84"
"/Game/Materials/Platform.Platform","0","21","7","1","14.113277","0","75"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars.M_GoodSky_Sun_Stars","0","2","2","1","1.459431","0","2"
"/Game/GoodSky/Source/Materials/M_GoodSky_Base.M_GoodSky_Base","0","2","2","1","1.216403","0","2"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars_Moon.M_GoodSky_Sun_Stars_Moon","0","2","2","1","1.342470","0","2"
"/Game/GoodSky/Source/Materials/M_GoodSky_Storm.M_GoodSky_Storm","0","2","2","1","1.483154","0","2"
"/Game/GoodSky/Source/Materials/M_GoodSky_Moon.M_GoodSky_Moon","0","2","2","1","1.034577","0","2"
"/Game/GoodSky/Source/ArrowTool/M_GoodSky_Sun_Emissive.M_GoodSky_Sun_Emissive","0","8","8","1","4.040861","0","9"
"/Game/GoodSky/Source/ArrowTool/M_GoodSky_SkyRing_.M_GoodSky_SkyRing_","0","22","10","1","10.435705","0","66"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Materials/Firey.Firey","0","21","5","1","14.355985","0","53"
"/Game/Materials/RedFire.RedFire","0","21","6","1","14.414790","0","58"
"/Game/Materials/Red_2.Red_2","0","21","7","1","14.524734","0","53"
"/Game/Materials/SlantStairs.SlantStairs","0","40","10","1","30.849991","0","147"
"/Game/Materials/RingFire3.RingFire3","0","21","8","1","14.174767","0","53"
"/Game/SideScrollerBP/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Materials/Yellow.Yellow","0","12","12","1","8.841162","0","14"
"/Game/Materials/White.White","0","40","10","1","30.948811","0","130"
"/Game/Materials/Water.Water","0","40","10","1","30.335741","0","130"
"/Game/Materials/StairsDiag.StairsDiag","0","40","10","1","31.381256","0","130"
"/Game/Materials/Rocky.Rocky","0","12","12","1","8.404993","0","14"
"/Game/Materials/Rings.Rings","0","40","2","1","29.859533","0","144"
"/Game/Materials/RingFire2.RingFire2","0","21","3","1","13.982341","0","55"
"/Game/Materials/Red.Red","0","12","12","1","8.760886","0","19"
"/Game/Materials/M-FOG.M-FOG","0","52","10","1","44.223957","0","271"
"/Game/Materials/Lava.Lava","0","12","12","1","7.887499","0","21"
"/Game/Materials/Greeny.Greeny","0","40","9","1","30.878614","0","167"
"/Game/Materials/Fire.Fire","0","21","10","1","14.031057","0","62"
"/Game/Materials/BlueFire.BlueFire","0","21","10","1","14.179970","0","53"
"/Game/Materials/Blue.Blue","0","40","1","1","30.796280","0","142"
"/Game/GoodSky/Source/Materials/Light_Function/M_GoodSky_StormLightning_LightFunction.M_GoodSky_StormLightning_LightFunction","0","19","19","1","5.549982","0","29"
